"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2019-11-15 10:09:20,-2.0302,-77.6731,21.62,4.1,"mb",NA,147,1.531,0.73,"us","us70006bm8","2019-12-28T07:23:02.040Z","46km SE of Palora, Ecuador","earthquake",7.2,7.5,0.184,8,"reviewed","us","us"
2019-11-14 20:52:27,-8.5831,-74.5986,129.71,4.9,"mb",NA,65,4.026,1.08,"us","us60006bpk","2019-11-27T21:12:28.040Z","23km SSW of Pucallpa, Peru","earthquake",7.8,5.1,0.036,246,"reviewed","us","us"
2019-11-13 00:09:18,-15.3076,-70.4654,182.97,5,"mww",NA,101,2.449,1.39,"us","us60006axf","2020-01-03T23:28:23.040Z","11km WNW of Lampa, Peru","earthquake",9.2,4.7,0.078,16,"reviewed","us","us"
2019-11-12 21:47:34,-11.8403,-77.2402,67.95,4,"mb",NA,167,0.416,0.72,"us","us60006avj","2019-11-22T04:57:02.034Z","26km NNW of Callao, Peru","earthquake",11.8,9.1,0.164,10,"reviewed","us","us"
2019-11-11 09:20:15,-14.8331,-72.6093,94.45,4.2,"mb",NA,86,4.067,1.23,"us","us60006a5r","2019-12-12T12:58:01.040Z","55km NNW of Orcopampa, Peru","earthquake",7.9,4.9,0.159,11,"reviewed","us","us"
2019-11-10 16:14:21,-7.2385,-75.847,117.35,5,"mww",NA,99,3.153,0.79,"us","us60006a07","2019-11-17T19:08:47.963Z","63km ESE of Picota, Peru","earthquake",5.3,5.2,0.069,20,"reviewed","us","us"
2019-11-03 18:29:18,-17.7643,-69.8463,129.49,4.5,"mb",NA,91,0.39,1.2,"us","us700062lz","2020-01-18T20:00:31.040Z","37km SSE of Tarata, Peru","earthquake",6.8,5.7,0.104,27,"reviewed","us","us"
2019-11-03 10:33:38,-17.3924,-69.965,139.28,4.2,"mb",NA,218,0.502,0.92,"us","us700062im","2020-01-18T20:00:32.040Z","11km NE of Tarata, Peru","earthquake",8.7,7.6,0.176,9,"reviewed","us","us"
2019-10-30 14:56:57,-15.5042,-70.2846,204.84,4.6,"mb",NA,130,2.212,0.74,"us","us600064vh","2020-01-18T20:00:39.040Z","16km W of Juliaca, Peru","earthquake",11,8.7,0.09,37,"reviewed","us","us"
2019-10-27 06:45:21,-14.2944,-74.7339,117.8,4.2,"mb",NA,149,3.078,0.61,"us","us600063i3","2020-01-11T21:26:47.040Z","55km ENE of Palpa, Peru","earthquake",5.1,12.6,0.166,10,"reviewed","us","us"
2019-10-25 19:29:47,-18.1349,-69.3939,134.52,4.2,"mb",NA,75,0.226,1.28,"us","us70006232","2020-01-11T21:26:39.040Z","18km ENE of Putre, Chile","earthquake",3.9,5.6,0.186,9,"reviewed","us","us"
2019-10-25 02:36:00,-11.6921,-77.2479,59.08,4.4,"mb",NA,188,0.493,0.95,"us","us600062sa","2020-01-11T21:26:36.040Z","13km S of Chancay, Peru","earthquake",7.2,8.1,0.138,15,"reviewed","us","us"
2019-10-22 16:15:38,-2.9033,-79.6628,74.61,4.6,"mb",NA,91,0.593,0.95,"us","us70005x7b","2020-01-11T21:26:23.040Z","17km E of Balao, Ecuador","earthquake",7.9,6.5,0.061,79,"reviewed","us","us"
2019-10-21 20:50:37,-15.4684,-74.7609,50.85,4.7,"mb",NA,133,4.007,0.7,"us","us70005wxv","2020-01-03T16:09:46.040Z","16km WSW of Acari, Peru","earthquake",8.4,6.8,0.068,66,"reviewed","us","us"
2019-10-19 20:17:08,-13.3312,-74.9707,74.74,4,"mb",NA,126,2.262,1.14,"us","us600062at","2020-01-03T16:09:36.040Z","62km S of Huancavelica, Peru","earthquake",10.1,10.9,0.172,9,"reviewed","us","us"
2019-10-19 07:57:09,-17.5738,-69.3839,162.43,4.3,"mb",NA,61,0.093,1.22,"us","us70005vw2","2020-01-03T16:09:33.040Z","69km E of Tarata, Peru","earthquake",7.1,4.2,0.113,22,"reviewed","us","us"
2019-10-13 13:29:20,-17.7394,-69.394,154.18,4.2,"mb",NA,130,0.17,0.58,"us","us70005wvf","2019-12-28T20:45:49.040Z","53km NNE of Putre, Chile","earthquake",5.3,4.1,0.235,5,"reviewed","us","us"
2019-10-12 23:17:59,-15.7454,-69.8171,248.86,4.2,"mb",NA,139,1.709,1.17,"us","us70005ts7","2019-12-28T20:45:47.040Z","14km W of Taquile, Peru","earthquake",7.9,7.5,0.146,13,"reviewed","us","us"
2019-10-11 10:59:48,-2.5228,-76.9998,121.22,4.3,"mb",NA,75,2.256,0.78,"us","us70005tcw","2019-12-28T20:45:59.040Z","126km E of Macas, Ecuador","earthquake",6.7,9.2,0.093,33,"reviewed","us","us"
2019-10-10 17:26:42,-16.0936,-73.3569,64.01,4.7,"mww",NA,66,3.999,0.83,"us","us70005t3y","2019-12-28T20:45:48.040Z","90km NW of Camana, Peru","earthquake",9.3,7.1,0.093,11,"reviewed","us","us"
2019-10-09 18:08:15,-17.1201,-70.124,161.46,4.3,"mb",NA,181,0.772,0.62,"us","us70005v23","2019-12-28T20:46:19.040Z","20km NNW of Chuquitira, Peru","earthquake",9.5,12.5,0.378,2,"reviewed","us","us"
