"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2019-11-01 21:38:52,-17.4551,-178.9377,520.94,4,"mb",NA,115,2.884,0.79,"us","us600069ab","2020-01-18T20:00:44.040Z","212km ESE of Lambasa, Fiji","earthquake",15.9,8,0.055,88,"reviewed","us","us"
2019-10-31 21:13:51,-17.782,-178.5163,544.63,4.5,"mb",NA,77,3.269,0.99,"us","us6000698v","2020-01-18T20:00:43.040Z","269km SE of Lambasa, Fiji","earthquake",7.4,8.5,0.085,41,"reviewed","us","us"
2019-10-31 17:16:40,-17.1782,-178.9884,602.59,4.1,"mb",NA,115,2.879,0.46,"us","us6000698n","2020-01-18T20:00:42.040Z","192km ESE of Lambasa, Fiji","earthquake",20.6,10.2,0.117,20,"reviewed","us","us"
2019-10-30 03:10:29,-17.676,-178.7631,603.53,4.2,"mb",NA,146,3.035,0.65,"us","us600068pb","2020-01-18T20:00:40.040Z","241km SE of Lambasa, Fiji","earthquake",14.6,12,0.112,22,"reviewed","us","us"
2019-10-29 13:52:06,-17.6481,-178.7583,551.49,4.3,"mb",NA,78,3.041,0.72,"us","us600064ev","2020-01-18T20:00:38.040Z","240km SE of Lambasa, Fiji","earthquake",12.7,8.5,0.074,52,"reviewed","us","us"
2019-10-23 22:08:26,-17.7355,-178.7058,560.53,4,"mb",NA,91,3.089,0.93,"us","us700061z6","2020-01-11T21:26:32.040Z","250km SE of Lambasa, Fiji","earthquake",11,10,0.183,8,"reviewed","us","us"
2019-10-23 21:36:51,-17.7183,-178.7535,549.07,4.3,"mb",NA,78,3.043,1.06,"us","us700061z8","2020-01-11T21:26:31.040Z","245km SE of Lambasa, Fiji","earthquake",10,6.6,0.113,22,"reviewed","us","us"
2019-10-19 20:31:55,-18.9154,178.0608,17.49,5.7,"mww",NA,37,1.164,0.84,"us","us70005w2i","2020-01-03T16:09:36.040Z","94km SSW of Suva, Fiji","earthquake",6.6,3.1,0.06,27,"reviewed","us","us"
2019-10-16 13:21:38,-17.289,-178.7808,549.26,4.3,"mb",NA,120,3.031,0.34,"us","us6000627f","2020-01-03T16:09:19.040Z","218km ESE of Lambasa, Fiji","earthquake",15.3,10.5,0.129,17,"reviewed","us","us"
2019-10-15 22:41:45,-17.8001,-178.6243,562.78,4.5,"mb",NA,73,3.166,0.73,"us","us70005uh4","2020-01-03T16:09:18.040Z","261km SE of Lambasa, Fiji","earthquake",11.8,6.9,0.064,72,"reviewed","us","us"
2019-10-15 05:30:45,-19.1485,-179.0677,620.87,4.4,"mb",NA,87,8.642,0.8,"us","us70005xpx","2020-01-03T16:09:15.040Z","170km NNW of Ndoi Island, Fiji","earthquake",8.1,10.1,0.134,16,"reviewed","us","us"
2019-10-09 10:00:11,-17.7181,-178.6912,561.67,4.7,"mb",NA,79,3.103,0.84,"us","us70005sid","2019-12-28T20:45:57.040Z","250km SE of Lambasa, Fiji","earthquake",12.3,8.1,0.084,43,"reviewed","us","us"
2019-09-30 13:39:33,-17.6156,179.9142,603.51,4.7,"mb",NA,59,1.779,0.8,"us","us70005nvb","2019-12-20T19:04:03.040Z","144km SSE of Lambasa, Fiji","earthquake",10.3,7.3,0.032,293,"reviewed","us","us"
2019-09-30 13:30:09,-17.623,179.865,608.31,4.7,"mb",NA,75,1.731,0.77,"us","us70005nv5","2019-12-20T19:04:03.040Z","143km SSE of Lambasa, Fiji","earthquake",11.1,8.3,0.03,328,"reviewed","us","us"
2019-09-27 12:35:48,-17.9535,-178.5814,586.31,4.2,"mb",NA,173,3.212,0.83,"us","us70005s25","2019-12-20T19:04:27.040Z","275km SE of Lambasa, Fiji","earthquake",12.8,7.4,0.115,21,"reviewed","us","us"
2019-09-25 13:04:42,-17.6881,-178.7316,548.09,4.9,"mb",NA,55,3.065,0.99,"us","us70005l3i","2019-12-20T19:02:31.040Z","245km SE of Lambasa, Fiji","earthquake",11.3,8.6,0.084,45,"reviewed","us","us"
2019-09-24 14:34:53,-18.1614,-178.4589,538.69,4.1,"mb",NA,134,3.346,0.95,"us","us70005pwt","2019-12-20T19:04:10.040Z","276km N of Ndoi Island, Fiji","earthquake",21.6,13.1,0.131,16,"reviewed","us","us"
