"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2017-11-18 19:29:07,30.9155,-103.8636,10.2,2.8,"ml",NA,89,0.453,0.32,"us","us2000br4n","2018-02-06T02:45:42.040Z","36km N of Fort Davis, Texas","earthquake",1.9,6.8,0.115,18,"reviewed","us","us"
2017-11-14 23:53:38,13.4588,-91.4617,10,4.5,"mb",NA,199,1.083,1.19,"us","us2000bnme","2018-02-06T02:45:34.040Z","82km SSW of La Gomera, Guatemala","earthquake",7.8,2,0.074,53,"reviewed","us","us"
2017-11-14 15:24:12,28.9834,-98.0504,5,2.8,"mb_lg",NA,108,0.247,1.27,"us","us2000bnav","2018-02-06T02:45:34.040Z","10km SSE of Poth, Texas","earthquake",1.4,2,0.1,26,"reviewed","us","us"
2017-11-14 08:54:01,28.5903,-97.5701,5,2.7,"mb_lg",NA,259,0.336,1.4,"us","us2000bn5j","2018-02-06T02:45:33.040Z","19km WSW of Goliad, Texas","earthquake",4.5,2,0.085,36,"reviewed","us","us"
2017-11-13 11:23:01,25.65,-96.547,5,3.9,"md",NA,235,2.369,1.34,"us","us1000blnl","2018-02-06T02:45:31.040Z","79km SE of South Padre Island, Texas","earthquake",10.7,2,NA,10,"reviewed","us","unm"
2017-11-10 14:44:55,31.1647,-103.3065,1.15,3,"mb_lg",NA,76,0.498,0.44,"us","us2000blfb","2018-01-31T03:04:47.040Z","33km SSE of Pecos, Texas","earthquake",1.1,7.8,0.088,41,"reviewed","us","us"
2017-11-08 08:28:26,14.7771,-91.0569,191.87,4.3,"mb",NA,104,0.666,1.3,"us","us2000bk9y","2018-01-31T03:04:43.040Z","6km W of Tecpan Guatemala, Guatemala","earthquake",8.2,8.5,0.133,16,"reviewed","us","us"
2017-11-04 18:12:27,14.2304,-91.9734,50,5.2,"mww",NA,66,0.398,1.33,"us","us2000biid","2018-01-24T01:25:09.040Z","9km SW of Champerico, Guatemala","earthquake",6.1,1.9,0.066,22,"reviewed","us","us"
2017-11-03 11:23:12,13.647,-91.251,35,4.1,"mb",NA,185,0.972,0.81,"us","us2000bhnu","2018-01-24T01:25:07.040Z","52km SSW of La Gomera, Guatemala","earthquake",5.8,2,0.097,29,"reviewed","us","us"
2017-11-02 22:13:09,13.6409,-91.4754,35,4.6,"mb",NA,95,0.903,0.93,"us","us2000bhe0","2018-01-24T01:25:06.040Z","64km SSW of Nueva Concepcion, Guatemala","earthquake",7.5,1.9,0.035,247,"reviewed","us","us"
2017-11-01 21:29:01,13.2343,-90.5007,45.69,4,"mb",NA,193,1.314,0.56,"us","us2000bljg","2018-01-24T01:25:04.040Z","80km SSE of Iztapa, Guatemala","earthquake",6.1,21.1,0.15,12,"reviewed","us","us"
2017-10-30 18:21:07,14.5909,-90.5862,96.04,4.3,"mb",NA,142,1.075,0.51,"us","us1000aynt","2018-01-24T01:24:59.040Z","5km SSE of Mixco, Guatemala","earthquake",5.1,12,0.2,7,"reviewed","us","us"
2017-10-30 14:28:00,13.9446,-92.008,35,4.5,"mb",NA,177,0.651,1.39,"us","us1000ayit","2018-01-24T01:24:59.040Z","40km SSW of Champerico, Guatemala","earthquake",5.5,2,0.053,106,"reviewed","us","us"
2017-10-30 06:42:39,14.1578,-92.2109,54.73,4.4,"mb",NA,161,0.618,1.3,"us","us1000ayga","2018-01-24T01:24:59.040Z","35km WSW of Champerico, Guatemala","earthquake",6.3,7.6,0.051,110,"reviewed","us","us"
2017-10-30 02:23:44,31.1543,-103.2331,2.21,2.6,"mb_lg",NA,52,0.444,0.73,"us","us1000ayf4","2018-01-24T01:24:59.040Z","38km SE of Pecos, Texas","earthquake",2.1,7.5,0.114,27,"reviewed","us","us"
2017-10-29 14:39:25,14.2636,-92.2535,44.71,4.6,"mb",NA,166,0.6,0.79,"us","us2000bh8x","2018-01-24T01:24:58.040Z","27km SSW of Ocos, Guatemala","earthquake",6.1,4.9,0.084,42,"reviewed","us","us"
2017-10-28 14:51:43,13.6491,-90.66,60.97,4,"mb",NA,187,1.328,1.29,"us","us1000ay1v","2018-01-17T21:50:37.040Z","31km S of Iztapa, Guatemala","earthquake",3.5,16.9,0.139,14,"reviewed","us","us"
2017-10-26 04:01:31,13.6987,-89.2497,10,2.9,"ml",NA,226,0.021,0.46,"us","us1000ax8w","2018-01-17T21:50:34.040Z","2km NNW of Antiguo Cuscatlan, El Salvador","earthquake",5.4,2,0.115,10,"reviewed","us","us"
2017-10-24 23:54:52,31.1957,-103.3131,5,2.6,"mb_lg",NA,56,0.493,0.36,"us","us1000awi8","2018-01-17T21:50:32.040Z","30km SE of Pecos, Texas","earthquake",2.6,2,0.117,21,"reviewed","us","us"
2017-10-22 02:53:14,31.1785,-103.3354,5,3.3,"mb_lg",NA,57,0.493,0.66,"us","us1000aveu","2018-01-17T21:50:29.040Z","30km SSE of Pecos, Texas","earthquake",3.3,2,0.077,51,"reviewed","us","us"
2017-10-22 01:57:19,31.1699,-103.356,5,2.7,"mb_lg",NA,58,0.481,0.58,"us","us1000aved","2018-01-17T21:50:29.040Z","30km SSE of Pecos, Texas","earthquake",3.1,2,0.147,15,"reviewed","us","us"
2017-10-21 21:50:34,31.1485,-103.2981,1.2,3.1,"mb_lg",NA,74,0.497,0.22,"us","us1000avcx","2018-01-11T02:22:11.040Z","35km SSE of Pecos, Texas","earthquake",2.6,4.8,0.074,47,"reviewed","us","us"
2017-10-20 22:10:08,29.6797,-97.1635,3.12,2.9,"mb_lg",NA,139,0.996,0.41,"us","us1000auyj","2018-01-11T02:22:10.040Z","5km W of Flatonia, Texas","earthquake",4,6.5,0.08,41,"reviewed","us","us"
2017-10-15 13:27:11,13.4849,-90.1736,48.85,4.2,"mb",NA,138,0.937,0.86,"us","us1000ashz","2018-01-11T02:22:02.040Z","39km WSW of Acajutla, El Salvador","earthquake",3.1,10,0.128,17,"reviewed","us","us"
2017-10-12 17:44:36,14.5548,-91.5905,97.09,4.6,"mb",NA,121,0.105,0.82,"us","us1000aquq","2018-01-09T02:14:57.040Z","1km SSW of San Andres Villa Seca, Guatemala","earthquake",12.3,4.9,0.037,214,"reviewed","us","us"
2017-10-08 05:00:39,13.8169,-91.514,18.34,4.1,"mb",NA,157,0.725,0.61,"us","us2000b2qv","2018-01-09T02:14:51.040Z","48km SSW of Nueva Concepcion, Guatemala","earthquake",6.9,8.6,0.102,26,"reviewed","us","us"
2017-10-07 21:24:08,13.5334,-90.5349,57.52,4.1,"mb",NA,183,1.276,1.16,"us","us2000b2ly","2018-01-03T01:54:50.040Z","48km SSE of Iztapa, Guatemala","earthquake",6.4,13.7,0.131,16,"reviewed","us","us"
2017-09-30 04:16:13,31.4199,-103.5405,5,2,"mb_lg",NA,59,0.283,0.21,"us","us2000ax2y","2017-12-22T21:56:29.040Z","4km W of Pecos, Texas","earthquake",2.4,2,0.161,10,"reviewed","us","us"
2017-09-28 20:17:08,32.2188333,-116.1311667,17.71,1.94,"ml",20,139,0.264,0.16,"ci","ci38013336","2017-10-26T23:12:14.254Z","54km SE of Campo, CA","earthquake",0.29,0.95,0.219,22,"reviewed","ci","ci"
2017-09-27 10:57:32,31.1698,-103.2798,5,2.6,"mb_lg",NA,77,0.541,0.23,"us","us2000avaw","2017-12-22T21:56:24.040Z","34km SE of Pecos, Texas","earthquake",2.2,1.9,0.106,25,"reviewed","us","us"
2017-09-27 09:16:23,31.1808,-103.2141,5,2.8,"mb_lg",NA,161,0.59,0.28,"us","us1000av65","2017-12-22T21:56:24.040Z","37km SE of Pecos, Texas","earthquake",1.7,1.9,0.18,10,"reviewed","us","us"
2017-09-27 09:15:12,31.1485,-103.2711,5,3,"mb_lg",NA,75,0.556,0.5,"us","us2000av9q","2017-12-22T21:56:24.040Z","37km SE of Pecos, Texas","earthquake",1.8,1.9,0.114,25,"reviewed","us","us"
2017-09-27 04:09:33,31.1219,-103.2019,5,2.8,"mb_lg",NA,52,0.621,0.46,"us","us2000av7x","2017-12-22T21:56:24.040Z","39km NW of Fort Stockton, Texas","earthquake",1.6,2,0.117,26,"reviewed","us","us"
2017-09-20 02:37:35,14.5711,-90.9075,178.93,4.9,"mb",NA,174,0.939,1.19,"us","us2000arfs","2017-12-19T01:54:07.040Z","4km ENE of Acatenango, Guatemala","earthquake",9.8,6.8,0.041,189,"reviewed","us","us"
2017-09-17 05:56:49,14.3944,-88.5593,10,4.3,"mb",NA,102,0.775,0.56,"us","us2000apf5","2017-12-19T01:54:01.040Z","20km NNW of Erandique, Honduras","earthquake",3.8,2,0.265,4,"reviewed","us","us"
2017-09-16 06:30:17,13.5994,-90.4761,52.27,4.4,"mwr",NA,175,1.213,1.26,"us","us2000anze","2017-12-13T02:29:46.040Z","44km SE of Iztapa, Guatemala","earthquake",6,9.5,0.075,17,"reviewed","us","us"
2017-09-16 03:57:36,13.2343,-89.7359,55.35,4.3,"mb",NA,164,0.665,1,"us","us2000any5","2017-12-13T02:29:46.040Z","40km SSE of Acajutla, El Salvador","earthquake",6.8,10,0.074,52,"reviewed","us","us"
2017-09-14 20:11:54,31.1684,-103.2947,5,3.2,"ml",NA,55,0.529,0.69,"us","us2000amr0","2017-12-13T02:29:44.040Z","33km SSE of Pecos, Texas","earthquake",2.8,2,0.052,48,"reviewed","us","us"
2017-09-14 02:16:37,13.9837,-91.5633,53.8,4.1,"mb",NA,155,0.552,0.91,"us","us2000aywa","2017-12-13T02:29:42.040Z","37km SW of Nueva Concepcion, Guatemala","earthquake",8.5,9.7,0.074,50,"reviewed","us","us"
2017-09-10 21:23:10,13.8067,-91.6784,49.57,4.6,"mb",NA,153,0.713,0.92,"us","us2000ajp5","2017-12-13T02:29:36.040Z","59km SW of Nueva Concepcion, Guatemala","earthquake",6.7,8.2,0.043,159,"reviewed","us","us"
2017-09-06 13:53:08,13.1897,-89.4347,45.9,4.1,"mb",NA,168,0.532,0.79,"us","us2000arps","2017-12-07T20:00:17.040Z","35km SSW of La Libertad, El Salvador","earthquake",7.2,5.4,0.197,7,"reviewed","us","us"
2017-09-04 16:36:02,31.1188,-103.5486,5,2.8,"ml",NA,69,0.37,0.65,"us","us2000afky","2017-12-07T20:00:10.040Z","34km S of Pecos, Texas","earthquake",4.2,2,0.059,38,"reviewed","us","us"
2017-09-03 06:27:39,31.1731,-103.2636,5,3.1,"mb_lg",NA,77,0.552,0.41,"us","us2000aevi","2017-12-07T20:00:06.040Z","35km SE of Pecos, Texas","earthquake",1.3,1.9,0.064,86,"reviewed","us","us"
2017-09-03 06:24:36,31.1217,-103.3225,5,2.7,"mb_lg",NA,57,0.528,1.15,"us","us2000aevc","2017-12-07T20:00:06.040Z","37km SSE of Pecos, Texas","earthquake",3.2,1.9,0.093,39,"reviewed","us","us"
2017-09-01 16:44:50,31.1544,-103.7795,5,2.8,"mb_lg",NA,74,0.228,0.84,"us","us2000advq","2017-11-28T18:33:56.040Z","40km SW of Pecos, Texas","earthquake",1.9,2,0.104,37,"reviewed","us","us"
2017-08-31 07:08:41,13.8361,-91.5323,40.77,4.3,"mb",NA,150,0.702,1.27,"us","us2000ade2","2017-11-28T18:33:54.040Z","47km SSW of Nueva Concepcion, Guatemala","earthquake",7.9,12.4,0.089,36,"reviewed","us","us"
2017-08-31 06:45:24,13.8871,-91.4558,35,4.2,"mb",NA,197,0.674,0.67,"us","us2000ade4","2017-11-28T18:33:54.040Z","38km SSW of Nueva Concepcion, Guatemala","earthquake",4.7,2,0.098,29,"reviewed","us","us"
2017-08-31 05:48:32,13.7712,-91.5264,35,5,"mb",NA,94,0.766,0.8,"us","us2000addm","2017-11-28T18:33:54.040Z","53km SSW of Nueva Concepcion, Guatemala","earthquake",6.5,2,0.026,488,"reviewed","us","us"
2017-08-30 20:16:43,31.3973,-103.4584,1.78,2.2,"mb_lg",NA,92,0.35,0.33,"us","us2000adal","2017-11-28T18:33:53.040Z","4km SE of Pecos, Texas","earthquake",2.3,5,0.208,7,"reviewed","us","us"
2017-08-30 03:04:48,13.923,-91.3229,36.62,4.2,"mb",NA,187,0.698,0.96,"us","us2000ad2d","2017-11-28T18:33:52.040Z","30km S of Nueva Concepcion, Guatemala","earthquake",7.7,13.9,0.063,70,"reviewed","us","us"
2017-08-26 23:33:13,14.3858,-91.9025,75.77,4.7,"mb",NA,87,0.244,0.77,"us","us2000ac50","2017-11-22T03:43:34.040Z","9km N of Champerico, Guatemala","earthquake",8.7,5.1,0.057,94,"reviewed","us","us"
2017-08-24 02:12:22,31.1872,-103.389,1.85,3,"mb_lg",NA,59,0.448,0.51,"us","us2000ab6z","2017-11-22T03:43:30.040Z","27km SSE of Pecos, Texas","earthquake",2.8,7.6,0.076,58,"reviewed","us","us"
2017-08-21 09:44:02,31.1248,-103.2556,4.11,2.8,"mb_lg",NA,54,0.578,0.77,"us","us2000aa4g","2018-02-15T06:21:00.304Z","40km SE of Pecos, Texas","earthquake",2.7,1.7,0.076,55,"reviewed","us","us"
2017-08-20 23:28:57,14.0033,-91.8497,16,5.3,"mww",NA,115,1.349,1.22,"us","us2000aa12","2017-11-22T03:43:26.040Z","33km SSE of Champerico, Guatemala","earthquake",6.1,1.8,0.063,24,"reviewed","us","us"
2017-08-20 20:54:31,31.1533,-103.2654,5,2.8,"mb_lg",NA,99,0.558,0.64,"us","us2000a9zw","2017-11-22T03:43:26.040Z","36km SE of Pecos, Texas","earthquake",2.6,2,0.098,39,"reviewed","us","us"
2017-08-20 20:48:34,31.1194,-103.2693,5,2.8,"mb_lg",NA,72,0.569,0.54,"us","us2000a9zt","2017-11-22T03:43:26.040Z","39km SSE of Pecos, Texas","earthquake",1.5,2,0.089,50,"reviewed","us","us"
2017-08-19 05:42:17,14.6023,-90.7151,199.34,4.4,"mb",NA,131,0.951,0.57,"us","us2000a9ps","2017-11-14T01:42:14.040Z","3km NE of Jocotenango, Guatemala","earthquake",9.2,9.4,0.102,28,"reviewed","us","us"
2017-08-17 20:42:59,31.1626,-103.2656,5,2.7,"mb_lg",NA,54,0.555,0.93,"us","us2000a95w","2017-11-14T01:42:12.040Z","36km SE of Pecos, Texas","earthquake",2.5,2,0.104,28,"reviewed","us","us"
2017-08-11 01:07:17,13.9489,-92.4402,27.51,4.5,"mb",NA,153,0.921,1.24,"us","us2000a763","2017-10-25T00:38:07.040Z","67km SSW of Ocos, Guatemala","earthquake",6.8,6.8,0.036,228,"reviewed","us","us"
